date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-03-11,57809.41,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-12,57256.22,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-13,61179.79,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-14,58998.89,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-15,55665.01,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-03-16,56925.01,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-03-17,58909.0,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-03-18,57643.32,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-19,58060.21,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-20,58101.34,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-21,57374.95,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-22,54095.36,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-23,54355.45,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-24,52303.02,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,2,False,12163.122149099578,-1.0140573473763488
2021-03-25,51336.09,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-03-26,55055.43,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-03-27,55863.73,0.0,0.2155205374806922,12039.781115276272,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-03-28,55781.01,0.0,0.2155205374806922,12021.953256415867,12021.953256415867,20.21953256415869,3,True,12163.122149099578,-1.1606303953311796
2021-03-29,57626.1,0.0,0.2155205374806922,12419.60804491612,12419.60804491612,24.1960804491612,3,True,12419.60804491612,0.0
2021-03-30,58781.54,0.0,0.2155205374806922,12668.629094742812,12668.629094742812,26.686290947428116,3,True,12668.629094742812,0.0
2021-03-31,58793.8,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-01,58730.82,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-02,58987.8,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-03,57074.97,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-04,58219.43,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-05,59119.56,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-06,58010.35,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-07,55951.98,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-08,58084.46,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-09,58106.85,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,2,False,12671.271376532324,0.0
2021-04-10,59784.8,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,3,True,12671.271376532324,0.0
2021-04-11,59980.45,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,3,True,12671.271376532324,0.0
2021-04-12,59845.76,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,3,True,12671.271376532324,0.0
2021-04-13,63558.48,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,3,True,12671.271376532324,0.0
2021-04-14,62964.27,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,3,True,12671.271376532324,0.0
2021-04-15,63233.03,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-16,61416.41,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-17,60056.07,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-18,56246.82,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-19,55680.11,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-20,56496.06,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-21,53803.25,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-22,51717.61,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-23,51178.03,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-24,50115.99,12671.271376532324,0.0,0.0,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-25,49120.97,8869.889963572627,0.0773881585188504,3801.381412959697,12671.271376532324,26.712713765323244,4,True,12671.271376532324,0.0
2021-04-26,54062.29,3648.4215507787503,0.1739706083705655,9405.24948120594,13053.67103198469,30.5367103198469,4,True,13053.67103198469,0.0
2021-04-27,55073.48,3648.4215507787503,0.1739706083705655,9581.166820684171,13229.588371462922,32.29588371462921,4,True,13229.588371462922,0.0
2021-04-28,54877.94,3648.4215507787503,0.1739706083705655,9547.148607923393,13195.57015870214,31.955701587021412,4,True,13229.588371462922,-0.2571373485373129
2021-04-29,53581.58,3648.4215507787503,0.1739706083705655,9321.620070056126,12970.041620834876,29.700416208348763,4,True,13229.588371462922,-1.9618656555324483
2021-04-30,57757.97,3648.4215507787503,0.1739706083705655,10048.18917914887,13696.61072992762,36.96610729927621,4,True,13696.61072992762,0.0
