date,price,cash,btc_holdings,portfolio_value,signal
2021-07-25,35369.93,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-26,37269.52,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-27,39496.69,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-28,40030.01,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-29,40030.52,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-30,42231.83,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-31,41474.72,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-01,39870.76,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-02,39158.53,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-03,38189.3,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-04,39738.56,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-05,40888.18,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-06,42852.18,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-07,44617.96,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-08,43827.75,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-09,46292.61,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-10,45601.03,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-11,45556.69,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-12,44425.52,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-13,47832.93,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-14,47102.03,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-15,47015.94,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-16,45927.4,8633.861230616822,0.0,8633.861230616822,SELL
2021-08-17,44684.43,6633.861230616822,0.0447583196205031,8633.861230616822,DCA
2021-08-18,44714.54,4633.861230616822,0.0894864997605649,8635.208903620594,DCA
2021-08-19,46761.49,2780.316738370093,0.1291247681785886,8818.383294305484,DCA
2021-08-20,49336.45,1668.1900430220558,0.1516664527819202,9150.874407374622,DCA
2021-08-21,48867.87,1000.9140258132334,0.1653211509958759,9079.80654093007,DCA
2021-08-22,49289.71,600.54841548794,0.1734438526779368,9149.54561526617,DCA
2021-08-23,49521.06,360.329049292764,0.1782947053494099,9189.671850583212,DCA
2021-08-24,47690.54,216.1974295756584,0.1813169319737489,8863.299826547012,DCA
2021-08-25,48996.44,216.1974295756584,0.1813169319737489,9100.081608011533,DCA
2021-08-26,46852.22,216.1974295756584,0.1813169319737489,8711.298216134779,DCA
2021-08-27,49088.1,216.1974295756584,0.1813169319737489,9116.701117996245,DCA
2021-08-28,48918.9,216.1974295756584,0.1813169319737489,9086.022293106284,DCA
2021-08-29,48794.26,216.1974295756584,0.1813169319737489,9063.42295070508,DCA
2021-08-30,46993.31,216.1974295756584,0.1813169319737489,8736.880222066953,DCA
2021-08-31,47159.26,216.1974295756584,0.1813169319737489,8766.969766927998,DCA
2021-09-01,48840.01,9071.718200342875,0.0,9071.718200342875,SELL
2021-09-02,49280.77,9071.718200342875,0.0,9071.718200342875,SELL
2021-09-03,50019.51,9071.718200342875,0.0,9071.718200342875,SELL
2021-09-04,49935.29,9071.718200342875,0.0,9071.718200342875,SELL
2021-09-05,51784.16,7071.718200342877,0.0386218488433528,9071.718200342875,DCA
2021-09-06,52693.32,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-07,46856.31,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-08,46073.45,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-09,46392.85,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-10,44853.1,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-11,45166.12,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-12,46049.72,9106.8316404373,0.0,9106.8316404373,SELL
2021-09-13,44958.56,7106.8316404373,0.0444854105647511,9106.8316404373,DCA
2021-09-14,47129.01,5106.8316404373,0.0869221178072754,9203.384999797565,DCA
2021-09-15,48148.45,3106.8316404373,0.1284603189331684,9291.996883575017,DCA
2021-09-16,47764.47,1864.09898426238,0.1544782493357233,9242.670690311055,DCA
2021-09-17,47297.98,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-18,48312.46,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-19,47251.76,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-20,42925.46,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-21,40709.59,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-22,43576.15,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-23,44893.87,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-24,42848.41,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-25,42721.91,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-26,43201.79,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-27,42187.51,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-28,41056.79,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-29,41539.43,9170.608131778436,0.0,9170.608131778436,SELL
2021-09-30,43829.34,9170.608131778436,0.0,9170.608131778436,SELL
2021-10-01,48164.35,9170.608131778436,0.0,9170.608131778436,SELL
2021-10-02,47669.02,7170.608131778436,0.0419559705653692,9170.608131778436,DCA
