date,price,volume,sth_mvrv,lth_net_change_30d,whale_holdings_change,mvrv_score,whale_score,lth_score,total_score,strategy_signal
2023-06-19,26842.09,477713441.96,1.0581012658227849,242246.835443038,0.0020991561181434,1,1,1,3,DCA
2023-06-20,28319.35,1265530107.38,1.0531645569620252,225632.91139240508,0.0024156118143459,1,1,1,3,DCA
2023-06-21,30000.55,1710075101.48,1.0531645569620252,272784.8101265823,0.0027004219409282,1,1,1,3,DCA
2023-06-22,29892.81,1034077333.64,1.0535443037974686,300000.0,0.0025843881856539,1,1,1,3,DCA
2023-06-23,30705.39,1263857697.39,1.0486075949367089,300000.0,0.0018881856540084,1,1,1,3,DCA
2023-06-24,30548.2,399256498.04,1.0451898734177214,295411.3924050633,0.0011286919831223,1,1,1,3,DCA
2023-06-25,30473.64,410384145.76,1.0470886075949366,271518.9873417722,0.0006381856540084,1,1,1,3,DCA
2023-06-26,30271.91,656487409.95,1.0558227848101267,260126.582278481,0.0005854430379746,1,1,1,3,DCA
2023-06-27,30696.99,683163079.08,1.0622784810126582,13291.139240506338,0.0010495780590716,1,1,0,2,DCA
2023-06-28,30078.9,577536151.3,1.069493670886076,34493.67088607595,0.0024578059071729,1,1,0,2,DCA
2023-06-29,30447.17,654120553.86,1.0778481012658228,55696.20253164557,0.0045358649789029,1,1,0,2,DCA
2023-06-30,30471.06,1438707503.25,1.0975949367088609,53797.46835443034,0.0074261603375527,1,1,0,2,DCA
2023-07-01,30590.76,221634243.18,1.119620253164557,-115822.78481012658,0.0105801687763712,1,2,0,3,DCA
2023-07-02,30617.66,264438993.35,1.1477215189873418,-119620.25316455704,0.0139240506329113,1,2,0,3,DCA
2023-07-03,31160.24,606995802.76,1.159873417721519,-96202.53164556966,0.016012658227848,1,2,0,3,DCA
2023-07-04,30774.39,411450957.26,1.1651898734177215,-97468.3544303798,0.0164767932489451,1,2,0,3,DCA
2023-07-05,30503.07,484235780.2,1.1670886075949367,-111392.40506329114,0.0162499999999999,1,2,0,3,DCA
2023-07-06,29907.98,942103548.67,1.1644303797468354,-108227.84810126584,0.0162816455696202,1,2,0,3,DCA
2023-07-07,30349.69,584908167.72,1.1617721518987345,44303.79746835447,0.0166930379746834,1,2,0,3,DCA
2023-07-08,30294.36,192238272.3,1.1572151898734178,20253.164556962,0.0167194092827003,1,2,0,3,DCA
2023-07-09,30171.49,216124236.01,1.1545569620253169,-32911.39240506326,0.016181434599156,1,2,0,3,DCA
2023-07-10,30421.04,674592681.26,1.1507594936708865,-119620.25316455704,0.0154746835443037,1,2,0,3,DCA
2023-07-11,30626.62,539220942.45,1.1481012658227847,-118987.34177215188,0.0149472573839662,1,2,0,3,DCA
2023-07-12,30385.22,755704294.14,1.146962025316456,-112658.22784810128,0.0148628691983122,1,2,0,3,DCA
2023-07-13,31475.78,1314075890.88,1.1462025316455695,-126582.27848101262,0.0156118143459915,1,2,0,3,DCA
2023-07-14,30331.09,1021600213.08,1.1458227848101266,-141139.2405063291,0.0163502109704641,1,2,0,3,DCA
2023-07-15,30298.45,149344124.18,1.146962025316456,-138607.5949367088,0.0169936708860759,1,2,0,3,DCA
2023-07-16,30248.17,224532522.64,1.148860759493671,-170253.1645569621,0.0164978902953586,1,2,0,3,DCA
2023-07-17,30147.68,558752237.54,1.1462025316455695,-170253.1645569621,0.0149789029535864,1,2,0,3,DCA
2023-07-18,29863.79,560798877.42,1.140126582278481,-123734.1772151899,0.0134071729957805,1,2,0,3,DCA
2023-07-19,29918.6,446435257.92,1.1317721518987345,-77215.18987341772,0.0120780590717299,1,2,0,3,DCA
2023-07-20,29809.61,577250260.25,1.1264556962025316,-81012.65822784818,0.0112974683544303,1,2,0,3,DCA
2023-07-21,29911.46,395907301.04,1.1226582278481012,-79746.83544303803,0.0101898734177214,1,2,0,3,DCA
2023-07-22,29791.61,182484169.27,1.1226582278481012,-29746.83544303797,0.0098839662447256,1,1,0,2,DCA
2023-07-23,30085.68,244328645.64,1.1218987341772153,52215.18987341774,0.0099894514767931,1,1,0,2,DCA
2023-07-24,29181.04,744538575.95,1.1226582278481012,134177.21518987344,0.0104113924050632,1,2,0,3,DCA
2023-07-25,29226.63,354541899.17,1.1241772151898737,140506.32911392403,0.0095358649789029,1,1,0,2,DCA
2023-07-26,29352.06,486510821.91,1.1256962025316457,143037.97468354434,0.0084493670886075,1,1,0,2,DCA
2023-07-27,29217.05,373268935.18,1.127974683544304,142405.06329113926,0.0058333333333333,1,1,0,2,DCA
2023-07-28,29316.82,342975082.63,1.127594936708861,148734.17721518985,0.0020042194092827,1,1,0,2,DCA
2023-07-29,29358.76,146316009.97,1.1230379746835444,136075.9493670886,-0.0013185654008438,1,2,0,3,DCA
