date,price,z_score,total_value,position,cash,borrowed,peak,dd
2024-07-26,67912.0625,3.8893292258408954,60177.888125558,0.6624321906442767,20622.12992747321,5431.378134961245,63764.32406830564,-5.62451809087756
2024-07-27,67813.3359375,3.9218750546951746,60111.29803344307,0.6624321906442767,20620.93948842993,5431.378134961245,63764.32406830564,-5.7289496724679125
2024-07-28,68255.8671875,3.946598820647032,60403.25453976583,0.6624321906442767,20619.74904938665,5431.378134961245,63764.32406830564,-5.2710815611239985
2024-07-29,66819.9140625,3.823516166551253,59450.84252646632,0.6624321906442767,20618.55861034337,5431.378134961245,63764.32406830564,-6.764725581061029
2024-07-30,66201.015625,3.7821629138562742,59039.673839683586,0.6624321906442767,20617.36817130009,5431.378134961245,63764.32406830564,-7.409551183450036
2024-07-31,64619.25,3.655008457605261,57990.670932585745,0.6624321906442767,20616.177732256812,5431.378134961245,63764.32406830564,-9.054676294435495
2024-08-01,65357.5,3.745941972113661,58478.5210582856,0.6624321906442767,20614.987293213533,5431.378134961245,63764.32406830564,-8.289593102810565
2024-08-02,61415.06640625,3.3785223772337423,55865.73569726492,0.6624321906442767,20613.796854170254,5431.378134961245,63764.32406830564,-12.387159256294465
2024-08-03,60680.09375,3.321891854229759,55377.67571147831,0.6624321906442767,20612.606415126975,5431.378134961245,63764.32406830564,-13.152571566262324
2024-08-04,58116.9765625,3.087560247585591,53678.593939041406,0.6624321906442767,20611.415976083696,5431.378134961245,63764.32406830564,-15.817199157416296
2024-08-05,53991.45703125,2.6741534498048267,50944.526559366444,0.6624321906442767,20610.225537040416,5431.378134961245,63764.32406830564,-20.10496887759113
2024-08-06,56034.31640625,2.9117241337056323,52296.59193128261,0.6624321906442767,20609.035097997137,5431.378134961245,63764.32406830564,-17.984558457388438
2024-08-07,55027.4609375,2.8404415744616847,51628.4280184131,0.6624321906442767,20607.844658953858,5431.378134961245,63764.32406830564,-19.03242326679779
2024-08-08,61710.13671875,3.696958850161326,56054.057136508716,0.6624321906442767,20606.65421991058,5431.378134961245,63764.32406830564,-12.091819437366782
2024-08-09,60880.11328125,3.617841380843081,55503.03245347622,0.6624321906442767,20605.4637808673,5431.378134961245,63764.32406830564,-12.955977712521127
2024-08-10,60945.8125,3.702397585001717,55545.36329183312,0.6624321906442767,20604.27334182402,5431.378134961245,63764.32406830564,-12.889591313895533
2024-08-11,58719.484375,3.514688669894686,54069.38143585312,0.6624321906442767,20603.08290278074,5431.378134961245,63764.32406830564,-15.204336867222334
2024-08-12,59354.515625,3.660640595536393,54488.856138874915,0.6624321906442767,20601.892463737462,5431.378134961245,63764.32406830564,-14.546485146607463
2024-08-13,60609.56640625,3.880415754874349,55319.05173822489,0.6624321906442767,20600.702024694183,5431.378134961245,63764.32406830564,-13.2445100822115
2024-08-14,58737.26953125,3.7242087798503416,54077.59157873892,0.6624321906442767,20599.511585650904,5431.378134961245,63764.32406830564,-15.19146110478659
2024-08-15,57560.09765625,3.630771600565805,53296.60459577457,0.6624321906442767,20598.321146607625,5431.378134961245,63764.32406830564,-16.416263522715056
2024-08-16,58894.10546875,3.876556604385885,54179.103874302244,0.6624321906442767,20597.130707564345,5431.378134961245,63764.32406830564,-15.03226190202458
2024-08-17,59478.97265625,4.022008843657049,54565.34828751054,0.6293105811120628,21580.959922369835,4446.358481112477,63764.32406830564,-14.42652441660163
2024-08-18,58483.96484375,4.015259389388594,53938.20479849049,0.6293105811120628,21579.985378045207,4446.358481112477,63764.32406830564,-15.410057917793043
2024-08-19,59493.453125,4.192669249398535,54572.51191106513,0.6293105811120628,21579.01083372058,4446.358481112477,63764.32406830564,-14.415289884346706
2024-08-20,59012.79296875,4.241846891356077,54269.05284449339,0.6293105811120628,21578.03628939595,4446.358481112477,63764.32406830564,-14.891197174207832
2024-08-21,61175.19140625,4.657169758481957,55628.89851746771,0.6293105811120628,21577.06174507132,4446.358481112477,63764.32406830564,-12.758585101793132
2024-08-22,60381.9140625,4.661121129216955,55128.70614696473,0.6293105811120628,21576.087200746693,4446.358481112477,63764.32406830564,-13.543024328290945
2024-08-23,64094.35546875,5.400862158026085,57464.01026135178,0.6293105811120628,21575.112656422065,4446.358481112477,63764.32406830564,-9.880625097201435
2024-08-24,64178.9921875,5.541651557204727,57516.29849968712,0.5978450520564597,22583.85108381499,3436.645509394923,63764.32406830564,-9.798622756395119
2024-08-25,64333.54296875,5.777320040697038,57607.94268217697,0.5978450520564597,22583.097846443066,3436.645509394923,63764.32406830564,-9.654899469386416
2024-08-26,62880.66015625,5.656639277330075,56738.59064413405,0.5978450520564597,22582.344609071144,3436.645509394923,63764.32406830564,-11.018282600542406
2024-08-27,59504.1328125,5.156015317050765,54719.19724116785,0.5978450520564597,22581.59137169922,3436.645509394923,63764.32406830564,-14.185246937532762
2024-08-28,59027.625,5.171417409429716,54433.56616582655,0.5978450520564597,22580.8381343273,3436.645509394923,63764.32406830564,-14.633195033140778
2024-08-29,59388.1796875,5.322409340738552,54648.368764372266,0.5978450520564597,22580.084896955377,3436.645509394923,63764.32406830564,-14.2963254721687
