total_value,date,peak,dd
27722.841046509486,2023-06-23 00:00:00+00:00,29603.12931410242,-6.351653731070921
27667.57477414695,2023-06-24 00:00:00+00:00,29603.12931410242,-6.5383443737260825
27641.806694476985,2023-06-25 00:00:00+00:00,29603.12931410242,-6.625389494519067
27563.060272573297,2023-06-26 00:00:00+00:00,29603.12931410242,-6.891396581365035
27720.090529414738,2023-06-27 00:00:00+00:00,29603.12931410242,-6.360945036275731
27493.443508213502,2023-06-28 00:00:00+00:00,29603.12931410242,-7.126563490988438
27628.661576147715,2023-06-29 00:00:00+00:00,29603.12931410242,-6.669793983618158
27640.673393182064,2023-06-30 00:00:00+00:00,29603.12931410242,-6.629217810380195
27683.15711537782,2023-07-01 00:00:00+00:00,29603.12931410242,-6.485706893865303
27694.713699770015,2023-07-02 00:00:00+00:00,29603.12931410242,-6.44666850616793
27896.41559013258,2023-07-03 00:00:00+00:00,29603.12931410242,-5.765315233605365
27753.760094556877,2023-07-04 00:00:00+00:00,29603.12931410242,-6.247208529621686
27654.573065131444,2023-07-05 00:00:00+00:00,29603.12931410242,-6.58226442311529
27426.83024968658,2023-07-06 00:00:00+00:00,29603.12931410242,-7.351584494072694
27589.845455222414,2023-07-07 00:00:00+00:00,29603.12931410242,-6.800915665091237
27571.122082303937,2023-07-08 00:00:00+00:00,29603.12931410242,-6.8641636167513935
27525.445112721718,2023-07-09 00:00:00+00:00,29603.12931410242,-7.018461390806176
27617.033654814826,2023-07-10 00:00:00+00:00,29603.12931410242,-6.709073349017375
27694.782094981194,2023-07-11 00:00:00+00:00,29603.12931410242,-6.446437465690913
27608.439392042317,2023-07-12 00:00:00+00:00,29603.12931410242,-6.738104951323064
28016.761744513336,2023-07-13 00:00:00+00:00,29603.12931410242,-5.358783366302315
27586.7588455308,2023-07-14 00:00:00+00:00,29603.12931410242,-6.811342298231484
27572.351725240413,2023-07-15 00:00:00+00:00,29603.12931410242,-6.860009856777477
27554.777097696795,2023-07-16 00:00:00+00:00,29603.12931410242,-6.919377322146233
27515.901406748853,2023-07-17 00:00:00+00:00,29603.12931410242,-7.050700232421877
27406.958131393236,2023-07-18 00:00:00+00:00,29603.12931410242,-7.418712932024277
27428.557044910765,2023-07-19 00:00:00+00:00,29603.12931410242,-7.345751343104554
27382.65356215604,2023-07-20 00:00:00+00:00,29603.12931410242,-7.500814283470314
27426.60667824358,2023-07-21 00:00:00+00:00,29603.12931410242,-7.352339723158871
27375.042572473278,2023-07-22 00:00:00+00:00,29603.12931410242,-7.526524368380614
27492.80074031489,2023-07-23 00:00:00+00:00,29603.12931410242,-7.128734774611163
27151.04310783383,2023-07-24 00:00:00+00:00,29603.12931410242,-8.283199320757149
27170.048886785564,2023-07-25 00:00:00+00:00,29603.12931410242,-8.218997395514467
27218.088800599176,2023-07-26 00:00:00+00:00,29603.12931410242,-8.056717545624654
27163.76020451894,2023-07-27 00:00:00+00:00,29603.12931410242,-8.240240697869082
27204.63627153579,2023-07-28 00:00:00+00:00,29603.12931410242,-8.102160474717214
27218.821291247936,2023-07-29 00:00:00+00:00,29603.12931410242,-8.054243176644986
27188.091984754137,2023-07-30 00:00:00+00:00,29603.12931410242,-8.158047427093466
27171.073344088498,2023-07-31 00:00:00+00:00,29603.12931410242,-8.215536756971616
27338.86812465074,2023-08-01 00:00:00+00:00,29603.12931410242,-7.648722421967147
27141.645752904245,2023-08-02 00:00:00+00:00,29603.12931410242,-8.314943785438142
27151.70720327141,2023-08-03 00:00:00+00:00,29603.12931410242,-8.280955992254498
27112.325534847216,2023-08-04 00:00:00+00:00,29603.12931410242,-8.41398810519883
27100.289448544383,2023-08-05 00:00:00+00:00,29603.12931410242,-8.454646260541546
27100.187223443805,2023-08-06 00:00:00+00:00,29603.12931410242,-8.454991579103963
27152.42204354309,2023-08-07 00:00:00+00:00,29603.12931410242,-8.278541246623734
27372.666390459075,2023-08-08 00:00:00+00:00,29603.12931410242,-7.534551161727326
27295.852684845493,2023-08-09 00:00:00+00:00,29603.12931410242,-7.794029491867881
27246.185994611136,2023-08-10 00:00:00+00:00,29603.12931410242,-7.961804627082037
27234.183002765327,2023-08-11 00:00:00+00:00,29603.12931410242,-8.002350988645548
27241.05488290792,2023-08-12 00:00:00+00:00,29603.12931410242,-7.979137631470771
27190.955758435135,2023-08-13 00:00:00+00:00,29603.12931410242,-8.14837353873318
27238.222732819184,2023-08-14 00:00:00+00:00,29603.12931410242,-7.988704694664279
27148.56984874569,2023-08-15 00:00:00+00:00,29603.12931410242,-8.291554042522868
26972.134473171114,2023-08-16 00:00:00+00:00,29603.12931410242,-8.887556491123885
26205.033641256254,2023-08-17 00:00:00+00:00,29603.12931410242,-11.478839405087399
25973.462900282473,2023-08-18 00:00:00+00:00,29603.12931410242,-12.261090289839183
25991.02796720517,2023-08-19 00:00:00+00:00,29603.12931410242,-12.201755120451098
26026.188989210452,2023-08-20 00:00:00+00:00,29603.12931410242,-12.082980440814332
26001.546856511624,2023-08-21 00:00:00+00:00,29603.12931410242,-12.166222088808244
25966.72266253559,2023-08-22 00:00:00+00:00,29603.12931410242,-12.283858956203355
26117.33333014708,2023-08-23 00:00:00+00:00,29603.12931410242,-11.775092919973048
26015.942945316336,2023-08-24 00:00:00+00:00,29603.12931410242,-12.117591794855324
25972.751737172683,2023-08-25 00:00:00+00:00,29603.12931410242,-12.263492613938924
25957.98940304359,2023-08-26 00:00:00+00:00,29603.12931410242,-12.313360092381686
25988.576035656006,2023-08-27 00:00:00+00:00,29603.12931410242,-12.210037797336867
25994.77278887534,2023-08-28 00:00:00+00:00,29603.12931410242,-12.189105033257828
26605.23755570351,2023-08-29 00:00:00+00:00,29603.12931410242,-10.12694207625803
26443.27696019812,2023-08-30 00:00:00+00:00,29603.12931410242,-10.674048410142243
25928.999394124403,2023-08-31 00:00:00+00:00,29603.12931410242,-12.411288958656565
25879.767344425607,2023-09-01 00:00:00+00:00,29603.12931410242,-12.577595868903863
25905.40010453797,2023-09-02 00:00:00+00:00,29603.12931410242,-12.4910078604525
25943.34326723026,2023-09-03 00:00:00+00:00,29603.12931410242,-12.362835050444156
25884.16964264196,2023-09-04 00:00:00+00:00,29603.12931410242,-12.562724811963763
25871.957052568338,2023-09-05 00:00:00+00:00,29603.12931410242,-12.603979200795564
25861.886041580256,2023-09-06 00:00:00+00:00,29603.12931410242,-12.63799928995987
26045.246248428666,2023-09-07 00:00:00+00:00,29603.12931410242,-12.018604614137335
25919.277713516,2023-09-08 00:00:00+00:00,29603.12931410242,-12.44412900237374
25915.521124927778,2023-09-09 00:00:00+00:00,29603.12931410242,-12.456818838466278
25891.62913325479,2023-09-10 00:00:00+00:00,29603.12931410242,-12.537526494131601
25639.50746990252,2023-09-11 00:00:00+00:00,29603.12931410242,-13.389198831461712
25892.049800575165,2023-09-12 00:00:00+00:00,29603.12931410242,-12.536105470982632
26040.776290433514,2023-09-13 00:00:00+00:00,29603.12931410242,-12.033704227248245
26158.01230128655,2023-09-14 00:00:00+00:00,29603.12931410242,-11.637678490883987
26184.00101067,2023-09-15 00:00:00+00:00,29603.12931410242,-11.54988807822965
26168.78417933113,2023-09-16 00:00:00+00:00,29603.12931410242,-11.601290857906795
26155.94647173598,2023-09-17 00:00:00+00:00,29603.12931410242,-11.644656907012402
26238.82087557892,2023-09-18 00:00:00+00:00,29603.12931410242,-11.364705409440626
26410.83850885721,2023-09-19 00:00:00+00:00,29603.12931410242,-10.78362618820997
26381.050555807597,2023-09-20 00:00:00+00:00,29603.12931410242,-10.884250526716722
26168.540015781546,2023-09-21 00:00:00+00:00,29603.12931410242,-11.60211564756668
26173.034243045175,2023-09-22 00:00:00+00:00,29603.12931410242,-11.586934052351042
26172.967318698753,2023-09-23 00:00:00+00:00,29603.12931410242,-11.587160124215647
26051.508455129668,2023-09-24 00:00:00+00:00,29603.12931410242,-11.997450746806091
26067.193021461117,2023-09-25 00:00:00+00:00,29603.12931410242,-11.944467948382895
26036.6063888487,2023-09-26 00:00:00+00:00,29603.12931410242,-12.047790243427714
26087.615243173408,2023-09-27 00:00:00+00:00,29603.12931410242,-11.875481249390358
26339.457442221934,2023-09-28 00:00:00+00:00,29603.12931410242,-11.024752948417959
26298.103344159208,2023-09-29 00:00:00+00:00,29603.12931410242,-11.164447970602744
26319.263204546907,2023-09-30 00:00:00+00:00,29603.12931410242,-11.092969512487104
26701.76673251386,2023-10-01 00:00:00+00:00,29603.12931410242,-9.800864465387454
26531.20672620931,2023-10-02 00:00:00+00:00,29603.12931410242,-10.3770197917208
26493.24885486946,2023-10-03 00:00:00+00:00,29603.12931410242,-10.505242287853225
26632.34927032858,2023-10-04 00:00:00+00:00,29603.12931410242,-10.035358128029431
26487.952270881127,2023-10-05 00:00:00+00:00,29603.12931410242,-10.523134261137985
26687.777337814336,2023-10-06 00:00:00+00:00,29603.12931410242,-9.84812093800929
26696.15244173812,2023-10-07 00:00:00+00:00,29603.12931410242,-9.81982965895254
26683.444170241542,2023-10-08 00:00:00+00:00,29603.12931410242,-9.862758470166163
26551.12297044535,2023-10-09 00:00:00+00:00,29603.12931410242,-10.309742295396951
26478.579185220027,2023-10-10 00:00:00+00:00,29603.12931410242,-10.554796743714228
