date,price,cash,btc_holdings,position_value,total_value,return,peak,drawdown
2023-09-26,26212.59,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-09-27,26360.2,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-09-28,27027.2,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-09-29,26909.4,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-09-30,26964.27,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-10-01,27994.51,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-10-02,27507.22,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-10-03,27428.66,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-10-04,27789.8,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
2023-10-05,27414.59,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
