date,price,cash,btc_holdings,position_value,total_value,return,unrealized_profit,unrealized_profit_pct,peak,drawdown
2023-10-16,28518.37,269.9790988999084,0.31217553772889395,8902.737489901558,9172.716588801466,-8.27283411198534,3773.134610803295,73.55607636173538,17600.33806687587,-47.88329318477881
2023-10-17,28409.46,269.9790988999084,0.31217553772889395,8868.738452087504,9138.717550987412,-8.612824490125877,3739.135572989241,72.89327577823231,17600.33806687587,-48.07646582546825
2023-10-18,28328.07,269.9790988999084,0.31217553772889395,8843.330485071749,9113.309583971657,-8.86690416028343,3713.727605973486,72.39795542664552,17600.33806687587,-48.2208265014917
2023-10-19,28733.78,269.9790988999084,0.31217553772889395,8969.983222483737,9239.962321383646,-7.600376786163543,3840.3803433854746,74.86701083692034,17600.33806687587,-47.50122249768935
2023-10-20,29684.37,269.9790988999084,0.31217553772889395,9266.734166893448,9536.713265793356,-4.632867342066438,4137.131287795185,80.65207746691017,17600.33806687587,-45.815169972549505
2023-10-21,29924.08,269.9790988999084,0.31217553772889395,9341.565765042442,9611.54486394235,-3.884551360576497,4211.962885944179,82.11089601315498,17600.33806687587,-45.389998604450454
2023-10-22,30001.44,269.9790988999084,0.31217553772889395,9365.715664641148,9635.694763541056,-3.6430523645894395,4236.112785542885,82.58169073484993,17600.33806687587,-45.25278590145041
2023-10-23,33084.08,269.9790988999084,0.31217553772889395,10328.040464265747,10598.019563165655,5.980195631656552,5198.437585167484,101.34191101517243,17600.33806687587,-39.78513638262832
2023-10-24,33923.52,269.9790988999084,0.31217553772889395,10590.093097656887,10860.072196556795,8.600721965567955,5460.490218558624,106.45054494975892,17600.33806687587,-38.29622956506936
2023-10-25,34503.4,269.9790988999084,0.31217553772889395,10771.117448475119,11041.096547375028,10.410965473750275,5641.514569376856,109.97955791791397,17600.33806687587,-37.26770187355346
2023-10-26,34157.06,269.9790988999084,0.31217553772889395,10662.998572738094,10932.977671638002,9.32977671638002,5533.395693639831,107.87181433063589,17600.33806687587,-37.882001867827476
2023-10-27,33907.7,269.9790988999084,0.31217553772889395,10585.154480650017,10855.133579549925,8.551335795499252,5455.551601551754,106.35426815946403,17600.33806687587,-38.324289349989996
2023-10-28,34090.05,269.9790988999084,0.31217553772889395,10642.079689954882,10912.05878885479,9.120587888547908,5512.4768108566195,107.46400726883681,17600.33806687587,-38.00085687336047
2023-10-29,34535.38,269.9790988999084,0.31217553772889395,10781.10082217169,11051.079921071598,10.510799210715977,5651.4979430734265,110.17418065834579,17600.33806687587,-37.21097924891616
2023-10-30,34494.56,269.9790988999084,0.31217553772889395,10768.357816721595,11038.336915621503,10.38336915621503,5638.754937623332,109.92575976202224,17600.33806687587,-37.28338129824996
2023-10-31,34657.73,269.9790988999084,0.31217553772889395,10819.29549921282,11089.274598112728,10.892745981127282,5689.692620114557,110.91877391324985,17600.33806687587,-36.9939682068782
2023-11-01,35439.76,269.9790988999084,0.31217553772889395,11063.426134982947,11333.405233882855,13.33405233882855,5933.823255884684,115.67802412275228,17600.33806687587,-35.60688896531759
2023-11-02,34947.15,269.9790988999084,0.31217553772889395,10909.645343342316,11179.624442242224,11.796244422422241,5780.042464244053,112.68011579992196,17600.33806687587,-36.480626680220055
2023-11-03,34732.28,269.9790988999084,0.31217553772889395,10842.568185550508,11112.547284450417,11.125472844504165,5712.965306452245,111.37246763742719,17600.33806687587,-36.86173957439819
2023-11-04,35086.09,269.9790988999084,0.31217553772889395,10953.019012554367,11222.998111454275,12.229981114542753,5823.416133456104,113.52567188358658,17600.33806687587,-36.23419011151754
2023-11-05,35039.47,269.9790988999084,0.31217553772889395,10938.465388985447,11208.444487885356,12.084444878853555,5808.862509887184,113.24195355466445,17600.33806687587,-36.316879566195176
2023-11-06,35054.59,269.9790988999084,0.31217553772889395,10943.185483115907,11213.164582015816,12.131645820158155,5813.582604017644,113.33397030999053,17600.33806687587,-36.2900613646781
2023-11-07,35421.85,269.9790988999084,0.31217553772889395,11057.835071102221,11327.81417000213,13.278141700021298,5928.2321920039585,115.56902808519337,17600.33806687587,-35.63865576354317
2023-11-08,35638.33,269.9790988999084,0.31217553772889395,11125.414831509774,11395.393930409682,13.95393930409682,5995.811952411511,116.8864743281164,17600.33806687587,-35.25468722753681
2023-11-09,36704.14,269.9790988999084,0.31217553772889395,11458.134641376606,11728.113740276514,17.281137402765143,6328.531762278343,123.3727427139709,17600.33806687587,-33.36427007416965
2023-11-10,37321.51,269.9790988999084,0.31217553772889395,11650.862453104293,11920.841552004202,19.208415520042017,6521.259574006031,127.12991098352644,17600.33806687587,-32.2692467229398
2023-11-11,37142.22,269.9790988999084,0.31217553772889395,11594.89250094488,11864.871599844788,18.64871599844788,6465.289621846617,126.03879431273157,17600.33806687587,-32.58725170640515
2023-11-12,37079.76,269.9790988999084,0.31217553772889395,11575.394016858334,11845.373115758242,18.453731157582425,6445.791137760071,125.65867747822969,17600.33806687587,-32.698036419814954
2023-11-13,36482.51,269.9790988999084,0.31217553772889395,11388.947176949752,11658.92627584966,16.589262758496606,6259.3442978514895,122.023954785206,17600.33806687587,-33.7573731166451
2023-11-14,35551.21,269.9790988999084,0.31217553772889395,11098.218098662832,11368.19719756274,13.681971975627402,5968.615219564569,116.35628254742787,17600.33806687587,-35.40921115056376
2023-11-15,37884.19,269.9790988999084,0.31217553772889395,11826.517384673587,12096.496483573495,20.964964835734953,6696.914505575324,130.55424880673377,17600.33806687587,-31.271226509340156
2023-11-16,36162.42,269.9790988999084,0.31217553772889395,11289.022909078109,11559.002007978017,15.590020079780171,6159.420029979846,120.07596250925793,17600.33806687587,-34.32511373328532
2023-11-17,36626.32,269.9790988999084,0.31217553772889395,11433.841141030543,11703.820239930452,17.03820239930452,6304.238261932281,122.89914854072501,17600.33806687587,-33.502298674834904
2023-11-18,36591.19,269.9790988999084,0.31217553772889395,11422.874414390128,11692.853513290036,16.92853513290036,6293.271535291865,122.68535564293359,17600.33806687587,-33.56460842478826
2023-11-19,37388.64,269.9790988999084,0.31217553772889395,11671.818796952033,11941.797895851942,19.417978958519416,6542.21591785377,127.53844833703447,17600.33806687587,-32.150178874537616
2023-11-20,37476.66,269.9790988999084,0.31217553772889395,11699.29648778293,11969.27558668284,19.692755866828392,6569.693608684668,128.07411730554003,17600.33806687587,-31.994058629991795
2023-11-21,35758.72,269.9790988999084,0.31217553772889395,11162.997644496954,11432.976743396863,14.329767433968627,6033.394765398692,117.61913948510781,17600.33806687587,-35.04115261902886
2023-11-22,37424.2,269.9790988999084,0.31217553772889395,11682.919759073671,11952.89885797358,19.528988579735795,6553.3168799754085,127.75485811344956,17600.33806687587,-32.08710643763636
2023-11-23,37299.18,269.9790988999084,0.31217553772889395,11643.891573346807,11913.870672246716,19.13870672246716,6514.288694248545,126.99401586802168,17600.33806687587,-32.308853233513624
2023-11-24,37737.05,269.9790988999084,0.31217553772889395,11780.583876052158,12050.562974952067,20.50562974952067,6650.980996953896,129.65878945629174,17600.33806687587,-31.532207340770185
2023-11-25,37801.92,269.9790988999084,0.31217553772889395,11800.83470318463,12070.813802084538,20.708138020845382,6671.231824086367,130.05357298261475,17600.33806687587,-31.41714803307096
2023-11-26,37460.21,269.9790988999084,0.31217553772889395,11694.16120018729,11964.1402990872,19.641402990871992,6564.558321089028,127.97400648377322,17600.33806687587,-32.02323583997565
2023-11-27,37246.29,269.9790988999084,0.31217553772889395,11627.380609156326,11897.359708056234,18.97359708056234,6497.777730058063,126.67213979730751,17600.33806687587,-32.402663728106084
2023-11-28,37836.63,269.9790988999084,0.31217553772889395,11811.6703160992,12081.649414999109,20.816494149991087,6682.067437000937,130.2648098594249,17600.33806687587,-31.355583233159738
2023-11-29,37861.9,269.9790988999084,0.31217553772889395,11819.55899193761,12089.53809083752,20.89538090837519,6689.956112839348,130.41859712179865,17600.33806687587,-31.310762072290917
2023-11-30,37729.58,269.9790988999084,0.31217553772889395,11778.251924785323,12048.231023685232,20.48231023685232,6648.649045687061,129.6133287974104,17600.33806687587,-31.545456809376837
2023-12-01,38699.84,269.9790988999084,0.31217553772889395,12081.143362022158,12351.122460922066,23.511224609220662,6951.540482923895,135.51810241002343,17600.33806687587,-29.824515790596738
2023-12-02,39469.35,269.9790988999084,0.31217553772889395,12321.36556005992,12591.344658959828,25.913446589598276,7191.762680961657,140.20115885122678,17600.33806687587,-28.459643155054227
2023-12-03,39980.93,269.9790988999084,0.31217553772889395,12481.068321651268,12751.047420551176,27.510474205511766,7351.465442553005,143.31451412171162,17600.33806687587,-27.55225852991505
2023-12-04,41984.41,269.9790988999084,0.31217553772889395,13106.505767980354,13376.484866880262,33.76484866880262,7976.902888882091,155.50722106356034,17600.33806687587,-23.998704933656754
2023-12-05,44089.06,269.9790988999084,0.31217553772889395,13763.52601346147,14033.505112361378,40.33505112361377,8633.923134363205,168.3156247736856,17600.33806687587,-20.265707061771334
2023-12-06,43771.01,269.9790988999084,0.31217553772889395,13664.238583686794,13934.217682586703,39.34217682586703,8534.63570458853,166.38004745678953,17600.33806687587,-20.82982934963543
2023-12-07,43285.02,269.9790988999084,0.31217553772889395,13512.524394105929,13782.503493005837,37.82503493005837,8382.921515007667,163.4224268932356,17600.33806687587,-21.691825232921293
2023-12-08,44186.18,269.9790988999084,0.31217553772889395,13793.844501685699,14063.823600585607,40.63823600585607,8664.241622587437,168.9066741967856,17600.33806687587,-20.093446232979137
2023-12-09,43723.0,269.9790988999084,0.31217553772889395,13649.25103612043,13919.230135020338,39.19230135020338,8519.648157022166,166.08786991557213,17600.33806687587,-20.914984234214444
2023-12-10,43791.67,269.9790988999084,0.31217553772889395,13670.688130296272,13940.66722919618,39.406672291961804,8541.085251198008,166.50577934601154,17600.33806687587,-20.79318490232441
2023-12-11,41235.58,269.9790988999084,0.31217553772889395,12872.739360062826,13142.718458962734,31.427184589627338,7743.136480964563,150.9500182268639,17600.33806687587,-25.326897648076713
2023-12-12,41472.94,269.9790988999084,0.31217553772889395,12946.837345698155,13216.816444598064,32.168164445980636,7817.234466599893,152.394535227142,17600.33806687587,-24.90589445283251
2023-12-13,42887.55,269.9790988999084,0.31217553772889395,13388.443983124827,13658.423082024736,36.58423082024736,8258.841104026564,161.0035181803078,17600.33806687587,-22.396814026373068
2023-12-14,43030.6,269.9790988999084,0.31217553772889395,13433.100693796943,13703.079792696852,37.03079792696852,8303.49781469868,161.8740867550035,17600.33806687587,-22.143087589401038
2023-12-15,41939.16,269.9790988999084,0.31217553772889395,13092.37982489812,13362.358923798029,33.62358923798028,7962.7769457998575,155.2318402316485,17600.33806687587,-24.07896443224456
2023-12-16,42243.26,269.9790988999084,0.31217553772889395,13187.312405921477,13457.291504821385,34.57291504821385,8057.709526823214,157.08252113738064,17600.33806687587,-23.539585127923008
2023-12-17,41349.42,269.9790988999084,0.31217553772889395,12908.277423277881,13178.25652217779,31.782565221777897,7778.674544179618,151.64282162807578,17600.33806687587,-25.12498071284501
2023-12-18,42650.27,269.9790988999084,0.31217553772889395,13314.370971532513,13584.350070432421,35.843500704324214,8184.76809243425,159.55948804116895,17600.33806687587,-22.81767532637117
2023-12-19,42268.08,269.9790988999084,0.31217553772889395,13195.060602767908,13465.039701667816,34.65039701667816,8065.457723669645,157.23356980584583,17600.33806687587,-23.495562127813635
2023-12-20,43669.91,269.9790988999084,0.31217553772889395,13632.677636822404,13902.656735722312,39.026567357223115,8503.074757724142,165.76477669200983,17600.33806687587,-21.009149466922203
2023-12-21,43875.01,269.9790988999084,0.31217553772889395,13696.7048396106,13966.683938510509,39.666839385105085,8567.101960512337,167.01296693786858,17600.33806687587,-20.645365529676717
2023-12-22,44008.04,269.9790988999084,0.31217553772889395,13738.233551394675,14008.212650294583,40.08212650294583,8608.630672296411,167.82255615486804,17600.33806687587,-20.40941147228147
2023-12-23,43732.75,269.9790988999084,0.31217553772889395,13652.294747613287,13922.273846513195,39.222738465131954,8522.691868515023,166.14720611692331,17600.33806687587,-20.89769075109331
2023-12-24,43023.12,269.9790988999084,0.31217553772889395,13430.765620774733,13700.744719674642,37.00744719674642,8301.162741676471,161.82856523847983,17600.33806687587,-22.156354794913444
2023-12-25,43593.79,269.9790988999084,0.31217553772889395,13608.91483489048,13878.893933790388,38.788939337903884,8479.311955792218,165.3015283179739,17600.33806687587,-21.14416279360736
2023-12-26,42517.32,269.9790988999084,0.31217553772889395,13272.867233791458,13542.846332691366,35.428463326913665,8143.264354693195,158.75038568530877,17600.33806687587,-23.053487488520293
2023-12-27,43469.34,269.9790988999084,0.31217553772889395,13570.064589220117,13840.043688120026,38.40043688120026,8440.461710121854,164.54415495816335,17600.33806687587,-21.364898585856032
2023-12-28,42588.94,269.9790988999084,0.31217553772889395,13295.225245803602,13565.20434470351,35.652043447035105,8165.622366705339,159.18624812025956,17600.33806687587,-22.9264557694295
2023-12-29,42073.59,269.9790988999084,0.31217553772889395,13134.345582435015,13404.324681334923,34.043246813349235,8004.742703336752,156.0499495185856,17600.33806687587,-23.840527208042175
2023-12-30,42146.03,269.9790988999084,0.31217553772889395,13156.959578388096,13426.938677288004,34.26938677288005,8027.356699289833,156.49080228021413,17600.33806687587,-23.712041062678633
