date,open,high,low,close,price,volume,wt1,wt2
2022-09-10,21369.73,21807.62,21138.54,21655.13,21655.13,752905078.21,-45.107594514932906,-61.004175418928654
2022-09-11,21655.13,21850.77,21366.74,21836.45,21836.45,600008216.45,-36.40959629189066,-52.2261091598849
2022-11-20,16683.72,16730.0,16169.2,16253.6,16253.6,470894190.07,-32.724151791609586,-23.993177306121204
2022-11-21,16253.6,16272.47,15480.69,15760.19,15760.19,1289350720.98,-38.1511852089256,-29.722295627791183
2022-11-22,15760.19,16277.08,15600.3,16198.25,16198.25,1184556737.9,-42.169988582587344,-35.05745887877075
2022-11-23,16198.25,16676.49,16144.79,16590.98,16590.98,1087435133.37,-43.14697789816629,-39.04807587032221
2022-11-24,16590.98,16787.9,16453.52,16588.46,16588.46,624934230.62,-42.35138599263202,-41.45488442057781
2022-11-25,16588.46,16605.86,16336.71,16508.33,16508.33,572460119.25,-47.66359845490475,-43.8329877320726
2022-11-26,16508.33,16687.21,16382.61,16451.53,16451.53,346443601.6,-53.899950812834085,-46.76547828963429
2022-11-27,16451.53,16587.18,16401.91,16420.87,16420.87,300543689.5,-57.8629512342148,-50.444471623646415
2022-11-28,16420.87,16477.82,16000.76,16207.01,16207.01,867757025.61,-60.73800992338357,-55.04112760633431
2022-11-29,16207.01,16528.39,16096.7,16431.79,16431.79,833578637.87,-53.49984781680302,-56.500189946808874
2022-11-30,16431.79,17216.6,16424.76,17162.35,17162.35,1460126671.64,-39.82922440690549,-52.98250834532672
2022-12-01,17162.35,17255.22,16865.92,16978.64,16978.64,978462617.82,-30.358694247246085,-46.10644409858455
2023-01-03,16670.08,16766.7,16605.01,16670.16,16670.16,628582193.83,-32.996000755089966,-26.349975491748943
2023-01-04,16670.16,16972.62,16651.02,16846.82,16846.82,990689260.54,-36.145814163469026,-30.157403771225844
2023-01-05,16846.82,16869.84,16764.64,16825.87,16825.87,524511536.58,-35.029013764487246,-32.66314687474473
2023-03-10,20370.48,20371.25,19599.47,20206.71,20206.71,2103890132.26,-36.51292330142845,-19.51102054962658
2023-03-11,20206.71,20847.88,19895.33,20613.6,20613.6,1416403424.21,-44.8509239540349,-29.98796929602505
2023-03-12,20613.6,22224.01,20445.19,22183.71,22183.71,1352204877.06,-48.317840842782125,-38.78455157487876
2023-03-13,22183.71,24596.0,21896.85,24207.1,24207.1,2198916015.73,-45.93916405262097,-43.905213037716614
2023-03-14,24207.1,26522.41,24071.83,24757.56,24757.56,2783419006.43,-41.9121170340057,-45.25501147086092
2023-03-15,24757.56,25272.47,23946.02,24372.11,24372.11,1826358018.09,-38.597061697022056,-43.691545906607715
2023-03-16,24372.11,25211.23,24220.45,25049.83,25049.83,1372954004.0,-35.395404649478806,-40.46093685828188
2023-05-18,27406.21,27476.67,26379.63,26823.31,26823.31,749234030.86,-30.32099346190612,-24.87110559443218
2023-05-19,26823.31,27178.6,26668.92,26888.42,26888.42,442561192.0,-35.22223585183373,-28.150742830679803
2023-05-20,26888.42,27164.5,26840.23,27118.54,27118.54,199050865.32,-38.675989574771705,-32.205777766955634
2023-05-21,27118.54,27280.07,26691.06,26755.17,26755.17,322799242.35,-43.29362967073236,-36.878212139810984
2023-05-22,26755.17,27084.08,26548.27,26855.4,26855.4,474287648.56,-43.217707814970275,-40.102390728077026
2023-05-23,26855.4,27480.33,26808.03,27224.7,27224.7,578611517.74,-40.87925150675385,-41.51664464180705
2023-05-24,27224.7,27225.89,26092.06,26326.17,26326.17,843296169.29,-45.681592799598874,-43.268045448013844
2023-05-25,26326.17,26605.5,25882.27,26480.21,26480.21,604389199.53,-51.89325438346545,-45.417951626197116
2023-05-26,26480.21,26940.67,26338.96,26719.7,26719.7,542617989.88,-57.10564113034124,-48.889934955039855
2023-05-27,26719.7,26902.14,26585.34,26872.59,26872.59,198605797.63,-58.83412871863666,-53.378654258010556
2023-05-28,26872.59,28249.51,26789.58,28077.57,28077.57,543751511.42,-51.14266802299078,-54.74392306385854
2023-05-29,28077.57,28450.88,27546.65,27746.07,27746.07,604161699.4,-39.53887868808653,-51.655329140013805
2023-05-30,27746.07,28052.68,27568.98,27703.56,27703.56,656814149.04,-30.35259700836602,-44.96706810952
2023-06-11,25856.18,26214.2,25655.94,25937.58,25937.58,341057974.45,-30.040435297031213,-25.61107531631813
2023-06-12,25937.58,26099.5,25629.48,25905.64,25905.64,441188405.58,-31.610145154473333,-27.968673393849283
2023-06-13,25905.64,26425.22,25717.6,25928.94,25928.94,599487905.69,-34.782673422748495,-30.987837941382843
2023-06-14,25928.94,26074.14,24836.48,25125.73,25125.73,684056303.1,-35.85924310536553,-33.07312424490465
2023-06-15,25125.73,25740.96,24765.75,25574.36,25574.36,824201465.11,-35.17460296564804,-34.35666616205885
2023-06-16,25574.36,26479.27,25205.5,26330.59,26330.59,715401866.52,-33.48524973487295,-34.82544230715875
2023-06-18,26510.43,26686.77,26260.74,26338.0,26338.0,248624880.04,-33.94408839695799,-33.121391778588915
2023-06-19,26338.0,27036.32,26265.34,26842.09,26842.09,477713441.96,-35.837421061984124,-33.28709630267293
2023-06-20,26842.09,28407.13,26648.29,28319.35,28319.35,1265530107.38,-32.2380194909554,-32.97528874169355
2023-07-26,29226.63,29682.98,29098.81,29352.06,29352.06,486510821.91,-31.70889823867887,-22.747942267529048
2023-07-27,29352.06,29566.99,29082.04,29217.05,29217.05,373268935.18,-35.119686868775325,-28.744967927825595
2023-07-28,29217.05,29528.45,29121.24,29316.82,29316.82,342975082.63,-36.392919559505,-32.778235250965125
2023-07-29,29316.82,29406.57,29258.14,29358.76,29358.76,146316009.97,-37.698232478415875,-35.22993428634378
2023-07-30,29358.76,29449.84,29043.43,29283.34,29283.34,224246250.77,-39.342029521573345,-37.13821710706739
2023-07-31,29283.34,29524.99,29108.82,29231.47,29231.47,426457343.16,-42.54352538832472,-38.99417673695474
2023-08-01,29231.47,29721.48,28564.09,29699.74,29699.74,822433494.24,-45.96269890473966,-41.386621573263405
2023-08-02,29699.74,30029.06,28914.46,29163.69,29163.69,838251477.68,-48.0891446315738,-43.98434961155289
2023-08-03,29163.69,29397.03,28945.61,29177.75,29177.75,450334651.17,-57.36595877317731,-48.490331924453876
2023-08-04,29177.75,29308.95,28794.51,29078.51,29078.51,375805085.38,-61.82257747952597,-53.31009494725419
2023-08-05,29078.51,29111.36,28953.98,29050.34,29050.34,120051247.27,-62.65898871167112,-57.484167398987054
2023-08-06,29050.34,29164.68,28962.89,29046.16,29046.16,126689336.09,-62.547956752737534,-61.09887042927799
2023-08-07,29046.16,29245.27,28672.37,29182.16,29182.16,475156597.17,-61.03382728939726,-62.015837558332976
2023-08-08,29182.16,30210.36,29111.88,29770.51,29770.51,786792606.34,-51.099559432476845,-59.33508304657069
2023-08-09,29770.51,30120.86,29356.43,29566.47,29566.47,532770863.32,-44.04015715072021,-54.68037515633297
2023-08-10,29566.47,29707.55,29319.58,29428.1,29428.1,375142806.93,-39.817214883915625,-48.99768968912748
2023-08-11,29428.1,29535.4,29219.56,29403.56,29403.56,310027638.11,-37.0926282302886,-43.012389924350316
2023-08-12,29403.56,29471.12,29356.08,29417.08,29417.08,102819295.5,-33.48650821193379,-38.609127119214556
2023-08-13,29417.08,29447.27,29257.12,29281.55,29281.55,115373186.78,-34.37613448469356,-36.1931214527079
