date,open,high,low,close,price,volume,wt1,wt2,return_5d,return_20d,return_60d,year
2021-09-24,44893.87,45143.18,40807.2,42848.41,42848.41,2565373998.35,-30.235215998950057,-25.69873759227559,-3.0549091553222274,33.86543397993063,34.34944260475474,2021
2021-09-25,42848.41,42992.94,41710.08,42721.91,42721.91,767641976.96,-33.8530001720422,-29.163602065041204,2.5921827933254704,44.3871774459522,33.830837619385434,2021
2021-09-26,42721.91,43928.49,40825.4,43201.79,43201.79,1187820024.18,-35.67245023765417,-31.54151916627098,11.486931444275793,40.914925052873954,36.49200646547284,2021
2021-09-27,43201.79,44360.41,42139.24,42187.51,42187.51,1140232492.25,-35.998723796202405,-33.93984755121221,12.99320580901786,45.826430618920156,27.497972741221275,2021
2021-09-28,42187.51,42781.24,40924.13,41056.79,41056.79,1335757058.57,-39.71204513850789,-36.309054836101666,17.48129846488242,51.103288883519625,33.48591061308006,2021
2021-09-29,41056.79,42603.18,40790.67,41539.43,41539.43,1100252801.68,-41.72485103959849,-38.27701755299074,18.62683238551901,54.754097492430695,38.01684327396886,2021
2021-09-30,41539.43,44106.6,41436.79,43829.34,43829.34,1469981944.79,-37.706409613402045,-38.785507396927706,17.510941300964156,50.632019555850064,31.965368403904804,2021
2021-11-24,57566.6,57740.34,55899.88,57175.09,57175.09,1630017073.7,-31.69281120942558,-25.923537845247097,1.1621494605430494,-15.36928057306074,-36.531538472436154,2021
2021-11-26,58966.99,59201.95,53575.54,53788.22,53788.22,3312563227.95,-35.43819229466604,-31.482505320629294,6.3949876013744245,-11.438006314393757,-31.25634200202201,2021
2021-11-27,53788.22,55316.65,53668.95,54805.03,54805.03,1010585542.47,-40.466306385160564,-34.39513117641994,3.134256107514233,-15.766600255487495,-32.7992886784297,2021
2021-11-28,54805.03,57475.26,53436.05,57331.41,57331.41,1186994646.57,-40.4736190797223,-36.590333143994116,-6.398168124593484,-18.261874250083853,-35.131806456530555,2021
2021-11-29,57331.41,58898.57,56752.37,57839.55,57839.55,1690005715.85,-35.29081918749839,-37.91723423676183,-14.862079666940708,-19.26436149658841,-34.74240377043045,2021
2021-11-30,57839.55,59226.33,55931.33,56975.35,56975.35,2383744473.31,-32.167110099820185,-37.09946368805036,-13.18087558918023,-17.65993539311298,-32.98003434818742,2021
2021-12-03,56522.76,57639.15,52493.23,53663.25,53663.25,2461497753.56,-37.13687840458288,-31.809295482691546,-5.870330253944733,-5.279311260499508,-27.84356146897551,2021
2021-12-04,53663.25,53871.2,43563.07,49243.39,49243.39,4315348557.56,-51.268320993374985,-36.584598206080244,-3.349769380215295,3.2430139354743925,-25.02914604376343,2021
2021-12-05,49243.39,49764.31,47840.63,49465.5,49465.5,2074283149.33,-57.932741439445195,-43.9785904435722,-4.597871243594021,1.9531390565141304,-24.53600994632623,2021
2021-12-06,49465.5,50986.02,47260.2,50552.83,50552.83,2437856119.9,-60.39749798785372,-51.683859706314195,-2.2836110263263154,0.470893518720894,-17.72895800294465,2021
2021-12-07,50552.83,51953.27,50083.33,50633.01,50633.01,1496164576.66,-59.3186894024299,-57.22931245577595,-1.0329624883055666,0.1613966856799598,-18.19919455706861,2021
2021-12-08,50633.01,51215.6,48711.85,50513.04,50513.04,1290175070.3,-59.03104037002562,-59.16999229993861,-7.4871953855875635,-5.892834800677216,-16.0367105206893,2021
2021-12-09,50513.04,50829.41,47347.73,47593.85,47593.85,1681556175.72,-60.50674486718943,-59.81349315687467,1.6679465939401839,-2.3577626100851345,-7.842988117162197,2021
2021-12-10,47593.85,50047.85,46989.42,47191.14,47191.14,1905617871.17,-61.436053358981056,-60.0731319996565,3.5894661582661636,-0.13027869214432553,-6.5923815360256155,2021
2021-12-11,47191.14,49504.07,46829.85,49398.4,49398.4,1181186604.23,-60.459885207640795,-60.35843095095923,-3.5678888385048957,-6.480149154628501,-10.072168329338593,2021
2021-12-12,49398.4,50807.75,48689.25,50109.99,50109.99,1072562349.4,-56.55776013292242,-59.74011089168343,-7.874377943400102,-4.734864245632453,-13.127761550142003,2021
2021-12-13,50109.99,50215.42,45800.52,46731.03,46731.03,2353893179.4,-57.632098175013326,-59.021449218639404,0.2794502924502229,1.231258972892335,-9.27017872278868,2021
2021-12-14,46731.03,48665.63,46320.4,48387.69,48387.69,1646492085.28,-57.23612256127223,-57.9714665192122,-3.4937811662429152,-4.002877591387399,-12.707116210755254,2021
2021-12-15,48387.69,49499.91,46562.1,48885.05,48885.05,2132679583.02,-55.120512889196334,-56.63662343960108,-4.032950769202448,-6.260625692312893,-13.941296981387985,2021
2021-12-16,48885.05,49451.4,47546.15,47635.92,47635.92,1271265804.99,-53.19985202086796,-55.79714641158746,2.6903227648379824,-8.824034468107255,-10.671862745591977,2021
2021-12-17,47635.92,48004.37,45505.02,46164.14,46164.14,1756062773.63,-55.24685141611431,-55.20083472186271,5.3089475943882025,-6.649316980669406,-3.43948787955326,2021
2021-12-18,46164.14,47356.67,45522.92,46861.62,46861.62,874187163.05,-55.87876673570708,-54.86149576547142,8.468721311811223,-11.347943156894702,-6.3277368558748215,2021
2021-12-19,46861.62,48286.29,46459.66,46697.13,46697.13,1035963939.83,-54.18448441644055,-54.627488647282476,8.872558120809583,-10.729695807857997,-13.174342834345499,2021
2021-12-20,46697.13,47495.72,45586.49,46913.54,46913.54,1517599333.73,-53.717064272875085,-54.75679171028426,7.499093012379787,-10.751565539500962,-14.748151599730052,2021
2021-12-21,46913.54,49334.04,46661.88,48917.48,48917.48,1546447524.57,-47.056433156681514,-52.70918714542606,3.8297148585740626,-14.483350327940048,-18.01065794885591,2021
2021-12-22,48917.48,49581.41,48460.43,48614.97,48614.97,1028434929.44,-38.91022624099771,-48.467052021748714,4.319163418181682,-12.078460605858654,-21.01764127387099,2021
2022-01-04,46450.79,47529.48,45587.91,45824.54,45824.54,1349229422.84,-31.21285970203439,-26.78374844334673,-8.630615822875697,-19.90581902186034,-14.004548654498228,2022
2022-01-05,45824.54,47067.18,42510.86,43432.51,43432.51,2152187256.39,-38.96160648099016,-30.678772810863347,-3.6836922388321702,-14.865638665598658,-11.520379549788862,2022
2022-01-06,43432.51,43779.23,42468.76,43094.54,43094.54,1585314774.47,-46.053730875570984,-36.05611930147964,-0.8156717765174015,-14.538199038671717,-11.750699740616799,2022
2022-01-07,43094.54,43138.79,40750.42,41543.79,41543.79,2146452950.19,-52.257385244650266,-42.121395575811455,5.718977493387101,-10.48036300973022,-6.728490587883296,2022
2022-01-08,41543.79,42306.77,40534.37,41686.67,41686.67,1143171232.86,-55.92319121313633,-48.29897845358694,2.1324322619197034,-9.456188273133836,0.6625139403075408,2022
2022-01-09,41686.67,42800.66,41237.13,41869.6,41869.6,901652458.82,-56.76463021148305,-52.749734386210164,2.9143579112291595,-8.800513976727743,-5.794609931788219,2022
2022-01-10,41869.6,42251.07,39667.6,41832.59,41832.59,2140270933.32,-57.9421765684068,-55.721845809419115,3.002802360551904,-9.380604930270863,-7.390314584872703,2022
2022-01-11,41832.59,43122.32,41279.45,42743.03,42743.03,1545270650.68,-55.74104104595291,-56.59275975974478,0.8359959506848202,-9.939328119695768,-9.212028253495363,2022
2022-01-12,42743.03,44293.83,42471.08,43919.67,43919.67,1384575768.8,-50.3162056685714,-55.191013373603546,-3.8599789114991068,-11.83565359211488,-13.94218125955865,2022
2022-01-13,43919.67,44442.67,42334.75,42575.61,42575.61,1263083590.1,-46.90174284444959,-52.72529153184518,-0.47646997893864285,-13.287936450000359,-6.762862587288831,2022
2022-01-14,42575.61,43467.05,41785.44,43089.83,43089.83,1165100829.55,-45.011696068279214,-49.49267140681328,-3.2839071307545153,-13.370185029739046,-8.760698290060553,2022
2022-01-15,43089.83,43811.94,42589.82,43088.74,43088.74,607715303.39,-41.483496985705365,-45.9282853917514,-5.550661263244172,-3.4774746256214573,-4.53738029935431,2022
2022-01-16,43088.74,43484.21,42617.07,43100.36,43100.36,543620929.25,-38.784599771134836,-43.04538391739226,-15.385161516052293,-3.9028676326601452,-4.973438736938618,2022
2022-01-17,43100.36,43198.05,41571.67,42224.38,42224.38,861459661.83,-40.33766859982479,-41.404365356236056,-16.929697961225244,0.4453114527673385,-1.0264449116837104,2022
2022-01-18,42224.38,42682.77,41301.01,42372.75,42372.75,1099916846.37,-42.145560291457805,-40.687831412030704,-14.359700515071594,3.5124460885828768,-0.3250438076358164,2022
2022-01-19,42372.75,42575.28,41144.83,41674.8,41674.8,1359832054.32,-44.59741921196259,-41.46631196859501,-11.930495167343336,5.771641375603487,-1.035733824757401,2022
2022-01-20,41674.8,43513.14,40564.32,40697.03,40697.03,1482814889.83,-46.8209228780823,-43.475392745331874,-9.143271634318284,9.155164394060211,0.8523226387773253,2022
2022-01-21,40697.03,41116.66,35494.42,36469.3,36469.3,3610621840.61,-59.25113413232861,-48.20375912845783,0.9873235844943595,19.365246933722325,16.207632172813845,2022
2022-01-22,36469.3,36811.86,34130.35,35075.92,35075.92,2419705021.17,-68.68646022008619,-54.83898411061493,6.026727167811985,20.87774176700141,22.31781803584909,2022
2022-01-23,35075.92,36539.19,34648.38,36288.15,36288.15,1405386710.59,-72.01045009967883,-61.692241832543985,4.013844739949524,16.398907081237258,21.27035960775072,2022
2022-01-24,36288.15,37469.19,32990.72,36702.79,36702.79,3289034581.3,-73.05562483078238,-68.25091732071901,4.038030896288802,14.62300277444848,20.784714186578192,2022
2022-01-25,36702.79,37555.35,35732.05,36975.99,36975.99,1632275610.85,-70.867427791541,-71.1549907355221,2.521771560409891,15.080840296635746,20.462792206510215,2022
2022-01-26,36975.99,38930.36,36275.92,36829.37,36829.37,2163384356.61,-67.1513891803556,-70.77122297558947,4.521635857469186,21.034733963681695,27.186916311628462,2022
