date,price,total_value,position,position_type,peak,dd
2021-06-09,37391.58,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-10,36680.78,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-11,37339.98,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-12,35541.78,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-13,39017.37,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-14,40526.63,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-15,40161.86,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-16,38345.41,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-17,38082.3,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-18,35830.29,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-19,35515.38,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-20,35602.26,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-21,31652.62,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-22,32537.58,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-23,33678.64,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-24,34649.84,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-25,31593.86,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-26,32307.35,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-27,34713.81,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-28,34487.11,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-29,35901.41,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-30,35056.39,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-01,33543.11,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-02,33804.54,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-03,34682.84,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-04,35287.97,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-05,33702.79,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-06,34237.66,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-07,33880.79,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-08,32874.01,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-09,33804.2,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-10,33515.13,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-11,34249.3,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-12,33088.51,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-13,32737.47,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-14,32820.5,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-15,31867.46,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-16,31401.76,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-17,31546.64,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-18,31806.3,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-19,30847.55,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-20,29795.55,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-21,32139.48,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-22,32299.47,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-23,33637.92,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-24,34282.56,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-25,35369.93,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-26,37269.52,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-27,39496.69,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-28,40030.01,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-29,40030.52,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-30,42231.83,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-07-31,41474.72,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-01,39870.76,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-02,39158.53,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-03,38189.3,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-04,39738.56,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-05,40888.18,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-06,42852.18,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-07,44617.96,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-08,43827.75,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-09,46292.61,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-10,45601.03,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-11,45556.69,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-12,44425.52,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-13,47832.93,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-14,47102.03,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-08-15,47015.94,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
