date,price,total_value,position,position_levels,peak,dd
2022-10-13,19378.91,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-14,19182.01,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-15,19069.72,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-16,19264.26,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-17,19550.49,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-18,19330.29,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-19,19123.89,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-20,19043.54,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-21,19166.4,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-22,19207.57,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-23,19572.6,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-24,19331.06,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-25,20087.18,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-26,20776.76,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-27,20295.28,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-28,20599.89,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-29,20820.19,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-30,20630.65,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-31,20492.56,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-01,20480.27,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-02,20150.33,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-03,20207.99,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-04,21150.6,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-05,21301.57,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-06,20910.59,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-07,20593.73,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-08,18544.7,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-09,15820.02,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-10,17559.67,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-11,17007.72,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-12,16773.9,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-13,16307.47,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-14,16592.04,-4984.819999999989,0,0,12769.68,-139.03637366010727
